hour,temp(F),humidity,AQI,PM1,PM2.5,PM10
0,83.07142857142857,34.357142857142854,56.464285714285715,9.319285714285714,14.632142857142856,16.197142857142858
1,82.0,35.689655172413794,57.3448275862069,9.517931034482759,15.093793103448277,16.80896551724138
2,80.8,38.36666666666667,78.53333333333333,16.412333333333333,25.165666666666667,28.565
3,80.14285714285714,39.5,92.71428571428571,20.98464285714286,31.964285714285715,37.152857142857144
4,79.48275862068965,40.03448275862069,79.41379310344827,16.461724137931036,25.610000000000003,28.729310344827585
5,79.27586206896552,38.6551724137931,71.93103448275862,14.18689655172414,22.041724137931034,24.61655172413793
6,79.28571428571429,39.607142857142854,75.67857142857143,15.008571428571429,23.80857142857143,26.642857142857142
7,79.0,44.275862068965516,86.65517241379311,18.119655172413793,29.030344827586205,32.79275862068965
8,79.0,46.666666666666664,85.86666666666666,17.782666666666668,28.650333333333332,32.208666666666666
9,77.32142857142857,50.107142857142854,83.46428571428571,17.34392857142857,27.5325,31.225357142857145
10,76.51724137931035,52.62068965517241,78.79310344827586,15.72,25.31793103448276,28.397586206896552
11,77.35714285714286,51.75,68.67857142857143,12.591785714285715,20.49857142857143,22.872142857142855
12,80.41379310344827,47.827586206896555,64.3103448275862,11.347931034482757,18.43793103448276,20.710689655172413
13,81.24137931034483,46.55172413793103,59.51724137931034,10.178620689655173,16.10206896551724,18.101724137931036
14,83.58620689655173,43.758620689655174,50.689655172413794,7.832758620689655,12.344137931034483,13.99655172413793
15,93.06896551724138,33.689655172413794,50.41379310344828,7.941724137931034,12.397241379310344,13.756206896551724
16,100.42857142857143,25.607142857142858,43.92857142857143,7.095357142857144,11.215,12.229642857142858
17,94.55172413793103,32.55172413793103,77.03448275862068,15.49655172413793,24.514482758620687,26.594137931034485
18,89.89655172413794,37.96551724137931,87.79310344827586,18.34448275862069,29.589655172413792,33.41862068965517
19,86.39285714285714,44.285714285714285,92.89285714285714,20.016785714285714,32.045,37.528571428571425
20,92.0,38.10344827586207,89.58620689655173,19.08241379310345,30.403448275862072,34.49793103448276
21,96.79310344827586,32.55172413793103,86.27586206896552,18.570344827586204,28.875172413793102,31.63448275862069
22,93.34482758620689,34.793103448275865,77.62068965517241,16.191724137931036,24.73758620689655,26.274482758620692
23,90.96551724137932,37.55172413793103,76.0,15.30793103448276,23.99103448275862,26.188965517241378
