hour,temp(F),humidity,AQI,PM1,PM2.5,PM10
0,39.53333333333333,61.53333333333333,73.53333333333333,12.429,22.80366666666667,28.259666666666664
1,40.46666666666667,59.63333333333333,86.2,16.143,28.861,34.92666666666666
2,40.53333333333333,59.06666666666667,98.73333333333333,20.209,34.56333333333334,42.49133333333334
3,40.06666666666667,60.03333333333333,93.63333333333334,18.726333333333333,32.386,38.88533333333333
4,40.233333333333334,59.233333333333334,103.4,21.641000000000002,36.52166666666667,44.75933333333333
5,40.3,59.36666666666667,111.76666666666667,23.776333333333334,39.891666666666666,50.68633333333333
6,40.2,58.86666666666667,117.93333333333334,25.185333333333332,42.348333333333336,55.13699999999999
7,38.666666666666664,61.4,122.7,26.375,44.291000000000004,58.07866666666666
8,38.93333333333333,61.46666666666667,132.3,28.399,48.23733333333333,63.30266666666667
9,40.2,59.333333333333336,129.1,27.970000000000002,46.90833333333333,61.64333333333333
10,42.166666666666664,56.0,124.46666666666667,27.32266666666667,45.013000000000005,58.42100000000001
11,43.51724137931034,54.03448275862069,128.75862068965517,28.54206896551724,46.77551724137931,60.81
12,43.53333333333333,54.8,146.93333333333334,33.867333333333335,54.632333333333335,71.42633333333333
13,46.266666666666666,54.0,152.43333333333334,36.537,58.234,76.54233333333333
14,53.766666666666666,49.03333333333333,145.4,34.03966666666667,53.684333333333335,69.95833333333333
15,60.5,39.13333333333333,126.63333333333334,29.15266666666667,45.89933333333333,58.720000000000006
16,67.46666666666667,33.1,111.23333333333333,25.569333333333336,39.649,49.475
17,72.06666666666666,30.9,74.76666666666667,15.734333333333332,23.242666666666665,26.795333333333335
18,72.7,30.066666666666666,53.0,9.726333333333335,13.438333333333333,14.554333333333334
19,73.26666666666667,28.733333333333334,50.4,9.539666666666667,12.806000000000001,13.962666666666667
20,73.1,29.9,49.666666666666664,9.225666666666665,12.477666666666666,13.541666666666666
21,73.36666666666666,30.033333333333335,47.266666666666666,8.553333333333335,11.514333333333333,12.15
22,72.76666666666667,30.933333333333334,43.43333333333333,7.7266666666666675,10.520666666666667,11.327333333333334
23,70.16666666666667,34.0,44.166666666666664,7.942666666666667,10.604333333333333,11.513333333333332
