hour,temp(F),humidity,AQI,PM1,PM2.5,PM10
0,27.6,37.666666666666664,80.96666666666667,17.801666666666666,26.343,29.566666666666666
1,26.6,38.96666666666667,78.86666666666666,16.831333333333333,25.355,28.711666666666666
2,26.433333333333334,40.0,87.83333333333333,19.534,29.602666666666668,33.48233333333334
3,26.066666666666666,41.2,99.36666666666666,22.736333333333334,34.931666666666665,39.79066666666667
4,26.033333333333335,41.63333333333333,108.26666666666667,24.782,38.417,43.657333333333334
5,26.166666666666668,41.5,108.56666666666666,24.907333333333334,38.60766666666667,43.87533333333333
6,26.133333333333333,41.56666666666667,113.26666666666667,26.069666666666667,40.50233333333333,46.48633333333333
7,26.3,41.9,115.86666666666666,26.789333333333335,41.538333333333334,48.340333333333334
8,26.1,42.1,114.43333333333334,26.202333333333335,40.96,47.97266666666667
9,25.333333333333332,42.86666666666667,115.7,26.457666666666668,41.424,48.19666666666667
10,24.1,44.86666666666667,124.26666666666667,28.632,44.958999999999996,53.318333333333335
11,23.933333333333334,45.266666666666666,119.46666666666667,27.663666666666664,42.98166666666667,50.235
12,24.866666666666667,45.166666666666664,118.0,27.062,42.424,49.904333333333334
13,27.0,45.7,124.76666666666667,28.834333333333333,45.156333333333336,54.858666666666664
14,29.1,47.1,124.03333333333333,27.832666666666668,44.901666666666664,55.602
15,30.933333333333334,47.666666666666664,119.76666666666667,25.68166666666667,43.12133333333334,53.06633333333333
16,30.862068965517242,51.06896551724138,122.37931034482759,26.57793103448276,44.16206896551724,55.06793103448276
17,29.633333333333333,55.53333333333333,117.56666666666666,25.490333333333336,42.227,51.688
18,30.266666666666666,54.833333333333336,117.23333333333333,25.308666666666667,42.08866666666667,50.80733333333333
19,31.966666666666665,51.166666666666664,104.2,22.511000000000003,36.822,43.101
20,34.06666666666667,47.9,93.4,20.218666666666664,32.18666666666667,36.483666666666664
21,32.93333333333333,52.1,113.4,25.377666666666666,40.529,47.63933333333333
22,33.233333333333334,51.43333333333333,120.06666666666666,27.104,43.25966666666667,52.69133333333333
23,32.56666666666667,53.166666666666664,124.86666666666666,28.57,45.18366666666667,55.32166666666667
