hour,temp(F),humidity,AQI,PM1,PM2.5,PM10
0,32.6551724137931,60.86206896551724,40.827586206896555,6.776896551724138,9.839655172413794,11.10896551724138
1,33.8,63.1,82.33333333333333,16.346,26.877666666666666,31.636666666666667
2,34.46666666666667,63.5,110.73333333333333,22.979666666666667,39.455333333333336,48.52133333333334
3,35.13333333333333,62.3,123.0,25.769000000000002,44.393,57.408
4,35.13793103448276,62.724137931034484,131.13793103448276,27.84206896551724,47.72,62.46862068965517
5,34.96666666666667,63.43333333333333,141.56666666666666,30.540333333333333,52.056000000000004,69.31099999999999
6,36.233333333333334,63.833333333333336,146.03333333333333,31.18433333333333,53.79533333333333,71.11733333333333
7,36.833333333333336,63.3,147.9,32.029666666666664,54.635666666666665,72.297
8,37.4,62.6,144.63333333333333,31.516000000000002,53.23233333333334,70.393
9,39.63333333333333,57.233333333333334,134.3,29.20266666666667,49.047333333333334,64.454
10,38.241379310344826,57.172413793103445,137.13793103448276,29.843103448275862,50.204827586206896,66.54827586206896
11,37.56666666666667,57.833333333333336,139.96666666666667,30.35,51.32566666666666,67.88533333333334
12,36.86666666666667,61.666666666666664,144.16666666666666,31.566333333333333,53.06933333333333,70.514
13,36.56666666666667,60.733333333333334,145.0,31.520333333333333,53.37233333333334,70.67699999999999
14,37.56666666666667,57.333333333333336,139.26666666666668,30.237333333333332,51.086666666666666,67.67466666666667
15,36.724137931034484,56.89655172413793,132.68965517241378,28.02758620689655,48.39275862068966,64.3296551724138
16,32.6,54.7,114.0,23.883333333333333,40.797333333333334,51.129333333333335
17,25.3,51.166666666666664,80.43333333333334,15.871,26.108666666666668,31.09
18,21.166666666666668,49.7,60.4,10.439333333333334,16.586333333333336,19.773333333333333
19,18.4,48.63333333333333,45.63333333333333,6.912000000000001,11.076666666666666,13.399000000000001
20,14.241379310344827,49.86206896551724,35.275862068965516,5.204137931034483,8.515862068965518,10.321724137931033
21,11.1,51.96666666666667,20.066666666666666,2.5513333333333335,4.792666666666666,6.2669999999999995
22,9.1,50.9,15.5,1.8486666666666667,3.73,5.064333333333334
23,7.166666666666667,50.6,14.1,1.5993333333333335,3.3873333333333333,4.485333333333333
