hour,temp(F),humidity,AQI,PM1,PM2.5,PM10
0,50.55172413793103,72.55172413793103,108.51724137931035,23.625172413793102,38.55310344827586,48.06103448275862
1,51.766666666666666,71.0,118.6,25.413666666666664,42.658,54.78633333333333
2,52.53333333333333,69.23333333333333,123.1,26.640666666666668,44.45733333333333,57.257666666666665
3,53.1,66.8,129.03333333333333,28.48966666666667,46.833,60.24666666666667
4,53.4,65.6,128.23333333333332,28.720333333333333,46.571000000000005,59.86533333333333
5,52.766666666666666,67.13333333333334,129.3,29.084666666666667,47.00533333333333,60.26866666666667
6,52.266666666666666,67.83333333333333,102.33333333333333,22.061,36.09166666666667,44.51366666666667
7,51.733333333333334,66.0,88.73333333333333,17.561,30.006666666666668,35.36866666666666
8,50.0,65.8,88.0,16.936666666666667,29.711666666666666,35.077666666666666
9,48.96666666666667,64.3,92.3,18.267666666666667,31.712333333333333,38.214333333333336
10,47.7,61.8,85.5,16.74833333333333,28.505,33.86933333333334
11,45.7,61.766666666666666,83.4,16.218,27.53033333333333,32.48133333333333
12,44.766666666666666,59.0,74.43333333333334,13.806999999999999,23.226666666666667,27.620333333333335
13,44.53333333333333,54.3,63.63333333333333,10.882333333333333,18.104333333333333,21.533666666666665
14,44.3,50.96666666666667,57.3,9.201666666666666,15.121333333333332,18.374666666666666
15,44.833333333333336,47.43333333333333,49.8,7.616,12.216000000000001,14.206666666666667
16,48.2,38.1,32.43333333333333,4.772333333333334,7.777,9.364333333333333
17,54.4,29.066666666666666,24.933333333333334,3.8823333333333334,6.003,7.002666666666667
18,61.36666666666667,20.333333333333332,18.066666666666666,2.7760000000000002,4.328,4.967333333333333
19,64.4,16.866666666666667,16.566666666666666,2.582666666666667,3.9699999999999998,4.514666666666667
20,63.2,16.7,13.4,2.0086666666666666,3.23,3.6426666666666665
21,59.166666666666664,21.433333333333334,11.766666666666667,1.802,2.823,3.2753333333333337
22,49.266666666666666,30.466666666666665,11.566666666666666,1.707,2.7776666666666667,3.219
23,44.833333333333336,38.833333333333336,13.966666666666667,2.1363333333333334,3.357666666666667,4.031000000000001
