hour,temp(F),humidity,AQI,PM1,PM2.5,PM10
0,42.206896551724135,51.206896551724135,74.82758620689656,15.105862068965518,23.448275862068964,26.645172413793105
1,42.333333333333336,51.36666666666667,81.46666666666667,17.470000000000002,26.582333333333334,30.720666666666666
2,41.266666666666666,52.5,91.9,20.154,31.453333333333333,37.00033333333333
3,39.96666666666667,54.13333333333333,100.66666666666667,22.988999999999997,35.4,41.40566666666667
4,39.6,55.333333333333336,112.83333333333333,26.356333333333335,40.306000000000004,48.979
5,39.0,56.666666666666664,114.76666666666667,26.774,41.07366666666667,50.03366666666667
6,37.9,58.8,121.46666666666667,28.334333333333333,43.830000000000005,54.79366666666667
7,38.233333333333334,62.1,125.76666666666667,28.790000000000003,45.56766666666667,57.95066666666666
8,38.266666666666666,62.2,128.66666666666666,29.682666666666666,46.765,59.567
9,37.233333333333334,65.06666666666666,132.16666666666666,30.25,48.14033333333334,61.433
10,37.5,66.93333333333334,129.6,29.545333333333335,47.121,60.071000000000005
11,39.03333333333333,65.2,121.56666666666666,27.85666666666667,43.79766666666667,55.458666666666666
12,39.3,68.66666666666667,125.7,28.561666666666667,45.51466666666667,58.342333333333336
13,41.56666666666667,74.26666666666667,125.76666666666667,28.697,45.544,58.14066666666667
14,43.1,75.43333333333334,124.1,27.142999999999997,44.907333333333334,57.882666666666665
15,43.6,76.1,114.6,23.92,41.040333333333336,53.19866666666667
16,45.43333333333333,74.26666666666667,116.0,24.252333333333336,41.619,54.034666666666666
17,47.6,72.5,116.36666666666666,25.116333333333333,41.772666666666666,53.69733333333333
18,49.166666666666664,71.56666666666666,106.63333333333334,23.298000000000002,37.815333333333335,47.257666666666665
19,50.0,70.16666666666667,100.66666666666667,22.360333333333333,35.440333333333335,42.834666666666664
20,50.36666666666667,69.03333333333333,95.43333333333334,21.09333333333333,33.15233333333333,38.934999999999995
21,51.2,67.43333333333334,89.43333333333334,19.027333333333335,30.403000000000002,34.746
22,50.766666666666666,67.16666666666667,87.8,18.885666666666665,29.615666666666666,33.55133333333333
23,49.0,71.96666666666667,98.93333333333334,21.726333333333333,34.68633333333333,41.023
