hour,temp(F),humidity,AQI,PM1,PM2.5,PM10
0,33.6,40.0,86.6,18.992,29.008,34.041000000000004
1,33.266666666666666,40.63333333333333,74.7,14.923,23.357666666666667,27.69766666666667
2,31.866666666666667,42.36666666666667,82.16666666666667,17.098000000000003,26.936666666666667,31.871333333333332
3,31.933333333333334,42.53333333333333,77.3,15.967666666666666,24.607666666666667,28.93
4,31.9,42.46666666666667,70.93333333333334,13.750333333333334,21.558333333333334,25.36733333333333
5,30.3,43.06666666666667,68.7,12.912333333333333,20.533333333333335,24.199
6,28.966666666666665,44.86666666666667,92.53333333333333,20.170333333333335,31.706666666666667,37.39633333333334
7,27.7,46.3,85.5,18.01966666666667,28.501666666666665,33.21933333333333
8,27.133333333333333,45.8,93.33333333333333,20.526999999999997,32.068333333333335,37.82066666666666
9,25.933333333333334,47.56666666666667,103.9,22.929333333333332,36.696333333333335,43.19266666666667
10,25.9,48.03333333333333,106.76666666666667,23.808,37.859,44.63466666666667
11,25.966666666666665,48.36666666666667,109.03333333333333,24.49233333333333,38.763333333333335,45.54366666666667
12,26.344827586206897,48.41379310344828,111.37931034482759,25.086206896551722,39.70655172413793,47.74172413793104
13,28.7,47.0,111.03333333333333,25.309666666666665,39.571333333333335,47.27866666666667
14,29.2,47.96666666666667,120.33333333333333,27.808666666666667,43.35933333333333,52.77466666666667
15,31.6,49.0,110.6,25.217,39.45133333333333,47.255
16,35.06666666666667,46.666666666666664,116.5,26.345333333333333,41.794333333333334,51.46666666666667
17,39.1,40.63333333333333,114.86666666666666,25.712,41.14666666666667,51.268
18,40.03333333333333,40.06666666666667,118.7,26.692666666666664,42.698,53.88933333333333
19,37.43333333333333,45.36666666666667,128.73333333333332,29.437,46.766666666666666,59.03366666666667
20,36.06666666666667,49.36666666666667,129.8,29.391333333333332,47.217333333333336,59.972
21,34.166666666666664,52.333333333333336,150.06666666666666,35.48133333333333,56.83866666666667,73.28133333333334
22,33.13333333333333,51.43333333333333,135.73333333333332,30.734333333333332,49.577999999999996,63.04533333333333
23,32.43333333333333,51.86666666666667,139.26666666666668,31.80166666666667,51.035666666666664,64.92233333333334
