hour,temp(F),humidity,AQI,PM1,PM2.5,PM10
0,88.73333333333333,27.733333333333334,148.26666666666668,33.553666666666665,55.230000000000004,69.92466666666665
1,86.6896551724138,29.03448275862069,151.31034482758622,33.83137931034483,56.38103448275862,71.2996551724138
2,84.72413793103448,32.48275862068966,150.93103448275863,33.859655172413795,56.51862068965517,71.36758620689655
3,82.66666666666667,36.4,150.2,33.708999999999996,55.958999999999996,71.09033333333333
4,80.73333333333333,40.03333333333333,143.9,32.77166666666667,52.88666666666666,68.41133333333333
5,79.3,43.3,143.56666666666666,32.537333333333336,52.788333333333334,68.41499999999999
6,77.37931034482759,47.3448275862069,147.3448275862069,33.70137931034483,55.250689655172415,70.79379310344828
7,75.73333333333333,51.03333333333333,144.76666666666668,32.568333333333335,53.42466666666667,69.11200000000001
8,74.76666666666667,52.766666666666666,149.26666666666668,32.86833333333333,55.156333333333336,71.01833333333335
9,74.0,51.44827586206897,146.9655172413793,32.39758620689655,54.140344827586205,70.29172413793104
10,73.03333333333333,51.0,144.53333333333333,31.878333333333334,53.202,69.797
11,73.0,50.241379310344826,137.13793103448276,30.373103448275863,50.20068965517241,65.83931034482758
12,73.23333333333333,49.1,129.93333333333334,28.301333333333332,47.272333333333336,61.729
13,76.1,44.166666666666664,113.46666666666667,24.217666666666666,40.61833333333333,51.958
14,81.65517241379311,34.86206896551724,81.0,15.290689655172415,26.396896551724137,31.183793103448277
15,85.3,26.533333333333335,46.43333333333333,6.888999999999999,11.440666666666665,13.239666666666666
16,89.6,21.566666666666666,35.6,5.187,8.533,9.941333333333334
17,92.89655172413794,19.482758620689655,33.41379310344828,4.98448275862069,8.021724137931034,9.263793103448275
18,95.1,18.766666666666666,36.8,5.562,8.819666666666668,9.871666666666666
19,96.79310344827586,18.379310344827587,41.03448275862069,6.164137931034483,9.837586206896553,11.094827586206897
20,96.03448275862068,18.551724137931036,44.689655172413794,6.516896551724138,10.72448275862069,11.924137931034483
21,94.56666666666666,19.2,47.666666666666664,7.095,11.448,13.029
22,90.41379310344827,22.310344827586206,56.62068965517241,8.944137931034483,14.807241379310346,17.11689655172414
23,85.51724137931035,26.82758620689655,65.3103448275862,11.267931034482759,18.908275862068965,21.81206896551724
