hour,temp(F),humidity,AQI,PM1,PM2.5,PM10
0,82.56666666666666,34.5,28.9,5.109333333333334,6.9350000000000005,7.421666666666667
1,81.16666666666667,33.233333333333334,27.233333333333334,4.699,6.52,7.114000000000001
2,80.53333333333333,34.8,68.83333333333333,14.839666666666666,20.96033333333333,23.24566666666667
3,79.96666666666667,36.1,97.3,23.18433333333333,33.98833333333333,40.096333333333334
4,79.13333333333334,37.5,89.76666666666667,20.954333333333334,30.525,34.60166666666667
5,78.76666666666667,38.86666666666667,92.2,21.265333333333334,31.69333333333333,36.34733333333334
6,79.03333333333333,37.86666666666667,84.96666666666667,18.745,28.139666666666667,32.132
7,78.63333333333334,38.4,83.3,17.46966666666667,27.16433333333333,32.66733333333333
8,77.26666666666667,43.13333333333333,61.86666666666667,11.979333333333333,17.236,18.846333333333334
9,76.3103448275862,46.275862068965516,59.58620689655172,11.323793103448276,16.14965517241379,17.49137931034483
10,75.83333333333333,47.833333333333336,59.1,11.059666666666667,15.951,17.392333333333333
11,76.5,47.833333333333336,62.333333333333336,12.236333333333334,17.497,19.014333333333333
12,78.76666666666667,44.4,68.9,14.391,20.640666666666668,22.495333333333335
13,82.1,39.53333333333333,66.53333333333333,13.488333333333333,19.478333333333335,21.192333333333334
14,83.6,36.93333333333333,69.7,14.434333333333335,20.972666666666665,22.741
15,87.63333333333334,34.46666666666667,67.76666666666667,14.089,20.067666666666664,21.459666666666667
16,88.43333333333334,35.86666666666667,61.233333333333334,12.002666666666666,16.981333333333332,18.049666666666667
17,86.4,38.96666666666667,63.666666666666664,12.941666666666666,18.111333333333334,19.363
18,89.76666666666667,35.6,60.03333333333333,11.924333333333333,16.393333333333334,17.154333333333334
19,88.2,39.0,60.6,11.963,16.650666666666666,17.471333333333334
20,80.1,58.93333333333333,77.46666666666667,16.872666666666667,24.679333333333332,26.661333333333335
21,77.5,68.03333333333333,91.63333333333334,21.204666666666665,31.403000000000002,35.50066666666667
22,79.46666666666667,62.63333333333333,88.7,20.358,30.031,33.155
23,78.16666666666667,66.1,85.6,19.25766666666667,28.546,31.141666666666666
