hour,temp(F),humidity,AQI,PM1,PM2.5,PM10
0,72.25,42.25,113.92857142857143,24.305,40.715357142857144,51.847857142857144
1,69.96666666666667,44.2,117.06666666666666,25.099,42.00233333333333,53.47666666666667
2,68.03571428571429,46.5,118.67857142857143,25.572857142857142,42.68,54.68821428571429
3,66.93333333333334,47.833333333333336,123.7,26.733999999999998,44.72633333333333,58.49633333333334
4,65.93333333333334,48.8,125.0,26.639666666666667,45.25833333333333,58.76433333333333
5,64.9,50.96666666666667,126.43333333333334,27.128666666666668,45.842333333333336,60.14933333333333
6,64.21428571428571,52.785714285714285,129.03571428571428,28.332142857142856,46.895357142857144,61.79642857142857
7,63.06666666666667,55.9,134.66666666666666,29.313,49.20066666666666,65.16233333333334
8,62.642857142857146,57.107142857142854,136.71428571428572,29.7225,50.00571428571429,66.32428571428571
9,61.724137931034484,58.10344827586207,133.27586206896552,28.817241379310346,48.634827586206896,64.63551724137932
10,61.689655172413794,58.241379310344826,130.89655172413794,28.19103448275862,47.63551724137931,62.8496551724138
11,62.370370370370374,58.48148148148148,133.1851851851852,28.69,48.574444444444445,64.34407407407407
12,65.79310344827586,55.44827586206897,129.13793103448276,27.913793103448278,46.91206896551724,61.70413793103449
13,71.76666666666667,45.86666666666667,105.3,21.752000000000002,36.98433333333333,46.592333333333336
14,79.20689655172414,34.827586206896555,89.51724137931035,18.032413793103448,30.41448275862069,35.86448275862069
15,81.7,32.833333333333336,93.3,19.342333333333332,32.21633333333333,38.624
16,85.1,27.966666666666665,77.53333333333333,14.614666666666666,24.758666666666667,27.762666666666668
17,88.24137931034483,24.620689655172413,69.86206896551724,12.367931034482758,21.042758620689657,23.782758620689656
18,90.10344827586206,21.517241379310345,67.86206896551724,11.905862068965517,20.09551724137931,22.28655172413793
19,88.03448275862068,21.20689655172414,75.96551724137932,14.458620689655174,23.931724137931035,26.299655172413797
20,87.36666666666666,21.333333333333332,83.7,16.448,27.681333333333335,30.973333333333333
21,87.46428571428571,23.0,88.10714285714286,17.7725,29.732499999999998,34.223214285714285
22,86.82758620689656,24.79310344827586,94.48275862068965,19.912068965517243,32.77448275862069,39.17
23,80.63333333333334,30.0,98.0,20.838666666666665,34.393,42.50333333333333
