hour,temp(F),humidity,AQI,PM1,PM2.5,PM10
0,20.82758620689655,38.3448275862069,63.58620689655172,11.887586206896552,18.11551724137931,21.065172413793103
1,20.333333333333332,39.56666666666667,71.4,14.166,21.778000000000002,24.970666666666666
2,19.266666666666666,39.1,72.4,14.407666666666668,22.267,25.66466666666667
3,19.6,38.5,65.76666666666667,12.394,19.138666666666666,22.174666666666667
4,20.933333333333334,38.833333333333336,61.2,10.951333333333334,16.997666666666667,19.707666666666668
5,21.266666666666666,42.333333333333336,65.7,12.156,19.096333333333334,22.421
6,22.266666666666666,43.7,63.3,11.485333333333333,18.008666666666667,21.103666666666665
7,23.533333333333335,43.833333333333336,57.36666666666667,9.593,15.117333333333333,17.895
8,25.166666666666668,44.4,53.5,8.51,13.579,16.10033333333333
9,27.2,44.766666666666666,46.06666666666667,6.733333333333333,11.250333333333334,13.494333333333334
10,27.966666666666665,45.2,41.86666666666667,5.975,10.045666666666667,12.360999999999999
11,28.566666666666666,45.666666666666664,39.0,5.596,9.376666666666667,11.672666666666666
12,28.866666666666667,45.86666666666667,42.9,6.077,10.298666666666666,12.781333333333333
13,28.633333333333333,46.833333333333336,42.36666666666667,6.0169999999999995,10.214333333333334,12.758999999999999
14,31.266666666666666,44.93333333333333,51.333333333333336,7.7266666666666675,12.749333333333334,15.408999999999999
15,34.8,40.93333333333333,53.46666666666667,8.514666666666667,13.469666666666667,16.123666666666665
16,34.9,41.0,50.63333333333333,7.846666666666667,12.735333333333333,15.322333333333335
17,39.13333333333333,38.266666666666666,48.9,7.625,11.975333333333333,14.537666666666667
18,43.06666666666667,35.233333333333334,57.63333333333333,9.916,15.305666666666667,17.505
19,47.43333333333333,31.2,57.86666666666667,10.251666666666667,15.479666666666667,17.714333333333332
20,49.53333333333333,29.766666666666666,62.43333333333333,11.755333333333335,17.552666666666667,19.88566666666667
21,47.6,31.233333333333334,58.13333333333333,10.384666666666668,15.575999999999999,17.632333333333335
22,42.666666666666664,38.1,66.23333333333333,12.838333333333333,19.331,22.125666666666667
23,38.166666666666664,45.666666666666664,74.33333333333333,15.002,23.219333333333335,26.857666666666667
