hour,temp(F),humidity,AQI,PM1,PM2.5,PM10
0,53.58620689655172,56.3448275862069,11.517241379310345,1.9027586206896552,2.7679310344827583,2.9720689655172414
1,53.2,57.0,10.333333333333334,1.732,2.499,2.7209999999999996
2,53.0,57.0,9.137931034482758,1.4127586206896552,2.1975862068965517,2.461034482758621
3,53.0,56.733333333333334,7.4,1.121,1.773,1.925
4,53.0,57.03333333333333,7.266666666666667,1.189,1.7536666666666667,1.943
5,53.0,56.333333333333336,9.666666666666666,1.578,2.3296666666666668,2.5363333333333333
6,52.93333333333333,55.53333333333333,9.433333333333334,1.4746666666666668,2.2676666666666665,2.592
7,53.0,54.0,8.366666666666667,1.2586666666666666,2.018666666666667,2.267333333333333
8,52.93333333333333,54.96666666666667,13.1,2.038,3.1390000000000002,3.5233333333333334
9,52.36666666666667,54.6,12.0,1.7773333333333334,2.874,3.2963333333333336
10,52.8,54.06666666666667,11.2,1.5576666666666665,2.683333333333333,3.1226666666666665
11,52.3,54.166666666666664,13.0,1.873,3.1056666666666666,3.58
12,52.6,53.666666666666664,12.1,1.6356666666666666,2.89,3.369333333333333
13,55.4,47.9,7.366666666666666,0.914,1.7630000000000001,2.0613333333333332
14,55.93333333333333,46.333333333333336,10.066666666666666,25.229,4.359666666666667,2.6569999999999996
15,55.8,46.96666666666667,10.5,1.4796666666666667,2.5193333333333334,2.9579999999999997
16,56.06666666666667,45.766666666666666,8.7,1.1806666666666668,2.0813333333333333,2.4626666666666663
17,55.233333333333334,47.733333333333334,22.0,3.130666666666667,5.286333333333333,6.0600000000000005
18,57.13333333333333,45.03333333333333,19.366666666666667,2.862,4.657,5.525666666666667
19,58.6,42.9,21.233333333333334,3.204,5.101333333333333,5.785
20,57.6551724137931,43.93103448275862,27.103448275862068,4.246551724137931,6.501724137931035,7.432068965517241
21,57.233333333333334,43.93333333333333,38.43333333333333,6.1866666666666665,9.46,10.878666666666668
22,58.9,41.56666666666667,71.06666666666666,13.322,21.584999999999997,24.461666666666666
23,58.266666666666666,42.5,67.16666666666667,12.193999999999999,19.940333333333335,23.14966666666667
