hour,temp(F),humidity,AQI,PM1,PM2.5,PM10
0,44.0,44.46666666666667,54.06666666666667,8.609666666666667,13.578000000000001,15.722000000000001
1,41.833333333333336,41.63333333333333,56.2,9.229999999999999,14.598333333333333,17.09466666666667
2,40.0,38.766666666666666,46.266666666666666,6.824666666666667,11.115333333333332,13.185
3,38.53333333333333,37.4,40.06666666666667,5.846333333333333,9.600666666666665,11.606666666666666
4,36.3,36.6,35.7,4.870333333333334,8.546666666666665,10.709
5,34.266666666666666,35.56666666666667,29.233333333333334,3.6319999999999997,7.032,9.164333333333333
6,32.13333333333333,35.93333333333333,25.733333333333334,3.142333333333333,6.171333333333334,7.875
7,30.566666666666666,37.8,25.566666666666666,3.137,6.148,8.068999999999999
8,29.517241379310345,37.689655172413794,25.482758620689655,3.1406896551724137,6.11551724137931,8.310689655172414
9,28.166666666666668,37.333333333333336,23.033333333333335,2.455,5.541666666666667,7.156666666666666
10,26.433333333333334,36.9,21.666666666666668,2.379,5.184333333333333,7.011
11,24.833333333333332,37.6,22.7,2.629,5.427666666666667,7.5840000000000005
12,24.566666666666666,36.5,20.466666666666665,2.133,4.917,6.915
13,23.966666666666665,36.666666666666664,19.966666666666665,2.1506666666666665,4.787333333333334,6.109666666666667
14,23.3,36.9,18.366666666666667,2.171,4.411666666666666,5.906000000000001
15,22.766666666666666,36.333333333333336,16.0,1.7753333333333332,3.8156666666666665,5.1530000000000005
16,24.266666666666666,34.8,15.233333333333333,1.5813333333333333,3.661,4.967
17,26.0,32.733333333333334,14.3,1.4460000000000002,3.4186666666666667,4.888333333333334
18,26.866666666666667,31.6,13.133333333333333,1.3619999999999999,3.168,4.383333333333334
19,28.2,30.466666666666665,15.166666666666666,1.6316666666666668,3.6453333333333333,5.032666666666667
20,27.5,30.1,11.766666666666667,1.233,2.8153333333333332,3.927
21,26.833333333333332,30.466666666666665,11.4,1.1556666666666666,2.738,3.8329999999999997
22,25.766666666666666,31.7,12.133333333333333,1.3216666666666665,2.908666666666667,4.156000000000001
23,23.666666666666668,34.06666666666667,16.933333333333334,1.82,4.074333333333334,5.408666666666666
