hour,temp(F),humidity,AQI,PM1,PM2.5,PM10
0,28.6,35.766666666666666,41.63333333333333,6.197,9.975,11.954
1,28.166666666666668,36.266666666666666,46.233333333333334,6.819,11.105666666666668,13.334333333333332
2,27.366666666666667,37.833333333333336,51.86666666666667,8.123,12.885333333333334,15.7
3,27.633333333333333,38.233333333333334,57.1,9.366333333333333,14.981,17.949666666666666
4,27.0,38.6551724137931,55.206896551724135,8.760689655172413,14.107931034482759,17.178620689655173
5,26.9,40.233333333333334,60.63333333333333,10.340666666666666,16.675666666666665,20.287666666666667
6,27.466666666666665,41.266666666666666,66.1,12.169333333333332,19.288999999999998,22.767333333333333
7,26.966666666666665,41.86666666666667,63.733333333333334,11.274000000000001,18.165000000000003,21.638333333333332
8,27.533333333333335,42.0,63.53333333333333,11.232666666666667,18.063333333333333,21.586000000000002
9,27.066666666666666,42.9,64.76666666666667,11.545333333333334,18.648666666666667,22.030666666666665
10,25.5,46.56666666666667,74.0,14.456,23.030666666666665,27.921333333333333
11,24.5,49.733333333333334,83.6,17.050333333333334,27.544,32.67166666666667
12,24.766666666666666,50.266666666666666,90.13333333333334,18.768666666666665,30.62066666666667,36.106
13,24.833333333333332,51.1,106.2,23.017333333333333,37.596333333333334,44.515
14,27.833333333333332,45.46666666666667,112.43333333333334,24.541,40.13433333333333,48.117
15,31.566666666666666,39.766666666666666,102.53333333333333,22.338666666666665,36.16133333333333,42.68066666666667
16,36.46666666666667,35.733333333333334,93.2,19.598333333333336,32.15866666666667,37.871
17,41.53333333333333,32.6,90.5,18.967,30.828333333333333,36.135
18,46.46666666666667,30.033333333333335,89.2,18.761666666666667,30.327666666666666,35.75333333333333
19,46.13333333333333,33.666666666666664,97.8,21.214,34.053000000000004,41.355000000000004
20,48.266666666666666,34.333333333333336,97.66666666666667,21.256333333333334,34.195,41.13166666666667
21,45.2,37.2,85.76666666666667,17.521,28.464,34.04366666666667
22,44.13333333333333,39.233333333333334,70.63333333333334,12.891,21.467,25.258666666666667
23,42.2,41.96666666666667,77.63333333333334,14.94,24.795666666666666,29.112000000000002
