hour,temp(F),humidity,AQI,PM1,PM2.5,PM10
0,72.34482758620689,44.58620689655172,72.27586206896552,16.74,22.21379310344828,23.86586206896552
1,71.96666666666667,44.9,75.06666666666666,17.49866666666667,23.523000000000003,25.146666666666665
2,71.86666666666666,44.06666666666667,69.5,15.591333333333333,20.874666666666666,22.173333333333336
3,69.06666666666666,45.6,64.43333333333334,13.72,18.487666666666666,19.623333333333335
4,67.96551724137932,47.06896551724138,67.41379310344827,14.683793103448275,19.975172413793103,21.289310344827587
5,69.6,45.9,58.56666666666667,11.729000000000001,15.818000000000001,17.066
6,68.1,49.333333333333336,44.1,8.050333333333333,10.598666666666666,11.179333333333334
7,67.1,55.5,35.86666666666667,6.314333333333334,8.618333333333334,9.291666666666666
8,66.7,58.06666666666667,42.56666666666667,7.1466666666666665,10.228333333333333,11.124
9,64.75862068965517,60.58620689655172,28.79310344827586,4.872413793103449,6.888275862068965,7.419655172413792
10,63.166666666666664,63.36666666666667,25.5,4.31,6.122333333333333,6.89
11,61.0,69.36666666666666,41.96666666666667,7.030666666666666,10.47,11.458
12,59.36666666666667,66.96666666666667,58.1,10.065666666666667,15.844999999999999,17.63
13,57.689655172413794,67.44827586206897,18.896551724137932,2.8513793103448277,4.534137931034483,5.134137931034482
14,55.96666666666667,71.03333333333333,3.7333333333333334,0.35866666666666663,0.8843333333333334,1.059
15,57.6,64.46666666666667,9.2,1.7993333333333332,2.658,2.884666666666667
16,63.06666666666667,51.733333333333334,4.7,0.6893333333333334,1.1406666666666667,1.224
17,58.241379310344826,55.10344827586207,4.448275862068965,0.5551724137931034,1.0658620689655172,1.2820689655172415
18,51.96666666666667,66.8,0.7666666666666667,0.09033333333333333,0.18566666666666665,0.29266666666666663
19,47.666666666666664,64.46666666666667,0.13333333333333333,0.0023333333333333335,0.029,0.084
20,43.166666666666664,67.36666666666666,0.06666666666666667,0.0,0.02266666666666667,0.12966666666666668
21,43.62068965517241,66.48275862068965,0.10344827586206896,0.001724137931034483,0.023448275862068966,0.1303448275862069
22,43.03333333333333,66.3,0.03333333333333333,0.0,0.009000000000000001,0.06366666666666666
23,41.63333333333333,69.66666666666667,0.1,0.008,0.036000000000000004,0.12633333333333333
